centroid,domain,kingdom,phylum,class,order,genus,species
f730ff606259e401cec5d23550a5c74e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,uncultured,uncultured marine bacterium
6aaed6e96f5328d9f6e9d4b08e242423,Bacteria,Marinimicrobia (SAR406 clade),,,,,
50105105184aaf2d110b6cf623c6ec5f,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,uncultured bacterium
da283be41b3e9fe3a9476380dd61d047,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Ambiguous_taxa
9c3df9d35b79469f20c9c8fd265c11ef,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,
5007c8f038d3479a7831a91bf5f013c0,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,,,
83b270a8f15c6a93dc7b976789da1be4,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,
b6cd1daf02833cf03306e8fe96ae9691,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Ambiguous_taxa
bde49556e023273df1d752974b1b8cb4,Bacteria,Marinimicrobia (SAR406 clade),Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
405343d2bdab762c33415a32a3f0fe43,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
a892ce8a148072aa0505cf0c8c42639f,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,,,
319408585d91c208398ba552b7220991,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,uncultured,Ambiguous_taxa,Ambiguous_taxa
fa36f08f98d86ce1ff8fdc5f31cdb5a3,Bacteria,Marinimicrobia (SAR406 clade),,,,,
32468396f7325d90715d79393c74af62,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,uncultured bacterium,uncultured bacterium
a868afbe7ee5bf7e0a641644639c4c72,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,
0fa8f7bdc35011b6fb6d2bf6f0e4dc9a,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,
b9e7e234c0788678ded790126fb09db2,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
36e08566469b280eb6e9bc54641a8ac0,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353 marine group,,,
262704e27d979da7fc1d489610f799b8,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,
b49f30b8c6e5793fe8654601f6b979c3,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,,
ab2cae8f863ee756c675edc4b24dc637,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
42a497284e548ae45a4edaf84a89221a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,uncultured,uncultured alpha proteobacterium
af77fb5cb5645320672c23f6059fe455,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
b9422fe5142d61ce901cf7c89d8b1678,Bacteria,Firmicutes,Bacilli,Lactobacillales,,,
dbca771a77988fb56bd182a82fc7f01a,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b marine group,
5a7233666fa833f2322db12032d188d5,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
444686cfd5d65145e58bb0bc14342c73,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,
c2c10b00e652698bab61dfc5137af0b9,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,
c654b9a2d6b9f848ab8b2661d5923a78,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Parahaliea,uncultured gamma proteobacterium
a2b3c35cc7100d50ab0755115b90121d,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,Clade Ia,
313d2ac59b9d73009a0750608ed8ebaa,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Acidovorax,
806b5fc4a5a8d6291251642fba43e9ad,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,Porticoccus,uncultured bacterium
c272e8b59984d6e1ed86a38b72f210e2,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,
b0df6b1851d34c1ce0cda00731e07a45,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,uncultured bacterium,uncultured bacterium
06cc5df977d900b15a16389efec6b484,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,
b881ad816fcb2559d1975dd9ebe04195,Bacteria,Proteobacteria,Gammaproteobacteria,EPR3968-O8a-Bc78,uncultured bacterium,uncultured bacterium,uncultured bacterium
3f22fd4dc0108b1701dc39c3cb1b3b1c,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,uncultured marine bacterium,uncultured marine bacterium
e1e44409b016e443121424ebee4d1fba,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,
f2487972780bee9182dd855fef3357e8,Bacteria,PAUC34f,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
cf9d199567fe16ede800ac9a5af63c72,Bacteria,Proteobacteria,Gammaproteobacteria,Ga0077536,uncultured bacterium,uncultured bacterium,uncultured bacterium
9d8212e31d6906c187a1a44d9fe7bbec,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
deb43f7e363c687c678218d20a1f40fe,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,uncultured bacterium,uncultured bacterium
882b824bab067d3cb711d100e6cd4008,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,
047114dbec1595de479333e219a691bc,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,
7ee4d814b7221649f0b8b111d8d59421,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,marine metagenome
5d63a9eaa2608c216bedfefc6d9f1ef5,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A clade,uncultured bacterium,uncultured bacterium,uncultured bacterium
b62f3e38a8376b69411f0f8c3ce67038,Bacteria,PAUC34f,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
fcc0e8c37c976f60c81bf6baebf15d3d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,
9cb03bce0d5ac4793817c38fff403f03,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,
2b08b65664b5c8ad989d19cbfaf6d84e,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,AT-s3-44,
7917567210f3b610a52d45cbb5c42e0d,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,
b7e04c473cfc9157efc6c49291685ea8,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
580ae35d795a85d2413edce7f2c72bc8,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,uncultured bacterium,uncultured bacterium,uncultured bacterium
567d56f40161dc312d20385428f8b2fb,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,uncultured bacterium
92a9050dc7fb529159ce5533832cb27b,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Ambiguous_taxa
3a98e3d8c51aef80e813d0199711f46c,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
d5a4b9f9e04c9423f52fb13a9a775700,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,,,
c010612742a160fb1472954ed1d7699d,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,Ambiguous_taxa
11d4a00c2f4d1bcc729414533fac85d8,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,
8171862f329b9cdc0a2e22eb11ec6f08,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
d72b764e37a52a4fd11693fe3f78f8d7,Bacteria,Actinobacteria,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus Actinomarina,uncultured bacterium
d06654e92b8653c9da1ad230983da46c,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,,,
8d68b36edaa6d1201887995bba568d8e,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,uncultured,uncultured marine bacterium
b7984a1e86596fc4ee7810c12f283095,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured marine eukaryote,uncultured marine eukaryote,uncultured marine eukaryote
68493e33a50520926a7ddb234e7e324c,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aliiglaciecola,uncultured bacterium
36a465774345f17997ac80165619efb6,Bacteria,Marinimicrobia (SAR406 clade),,,,,
4c137f3d0a656ed48a45d0faa3f048d0,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS7 marine group,,
0bff9e818e2530cdd952d87405bd0f6c,Bacteria,Acidobacteria,Subgroup 21,,,,
65e882892888b7194f31c0608a51253f,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,uncultured bacterium,uncultured bacterium
4872d3661acd9676de5c725d7006bc22,Bacteria,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina,
b94e7fdc34bdafea038b41aaf242cc87,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,uncultured bacterium,uncultured bacterium
810c3ef7bf7db04b82799c9f824c6b98,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,
acbeb5a5a3eea47a43fa6599c38eb7a5,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,Ambiguous_taxa,Ambiguous_taxa
d1532175389b85881039d3908f6855e8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,uncultured bacterium,uncultured bacterium
310fe65548e90bc647c8bc9dc658b87c,Bacteria,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4 marine group,uncultured bacterium,uncultured bacterium,uncultured bacterium
9079b9dde2ecaec9df9f35cf4ec02c3d,Bacteria,Firmicutes,Negativicutes,Selenomonadales,,,
757593f27f25fee97e4827b38632e91a,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta 2,
9e697a5d880dbbea8161d1639426122f,Bacteria,Caldiserica,Caldisericia,Caldisericales,WCHB1-02,uncultured Firmicutes bacterium,uncultured Firmicutes bacterium
20cb8887f24e787cb9d6d7d6b83e9cf8,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,
44e8a5ebc75e2af4a04611872d8f60cc,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,
281995bc64ffd57731354c967049907e,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,uncultured,Ambiguous_taxa
6de75ef890d683183dcf5bd014490094,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
0b54fa083bd7440eec6990f035988999,Bacteria,Proteobacteria,Gammaproteobacteria,OM182 clade,uncultured gamma proteobacterium,uncultured gamma proteobacterium,uncultured gamma proteobacterium
fe306bd5138296f69444e1e9cd1cf3cb,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,,
ce41c7b262e6ab266b9cfff7cb437713,Bacteria,Marinimicrobia (SAR406 clade),,,,,
d6d0268ac024bf216c2c4b0c36382eaa,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
df742f1ab891eeb0e461f3d0ad9c24f7,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
481d7f8f865ac7a49e602a270d00bcab,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
eca764e822983f2bb67880fafb5625bb,Bacteria,Marinimicrobia (SAR406 clade),,,,,
ac6a21a3b585e7e42a81d49a96493fa4,Bacteria,Margulisbacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
551b3ce10f0ac21c805cef5b6d1487a2,Bacteria,Marinimicrobia (SAR406 clade),,,,,
a2dc0cab5b72aac8a0b27675f50df187,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
bc5ba58483da1c404f8368c6077f270b,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
06ec6f2b0efb0fd2c2869e280b12d1c7,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,uncultured archaeon,uncultured archaeon,uncultured archaeon
440d479d76f8f5699679831edb9d4057,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SCGC AAA164-E04,uncultured bacterium
f3546154428dbb5251053e6f3c0f8ffa,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
730c664324b207471a85450ebce163f8,Bacteria,Chloroflexi,TK10,marine metagenome,marine metagenome,marine metagenome,marine metagenome
e9835568691873e66d8adaaa37b2a038,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospiraceae,Magnetospira,Ambiguous_taxa
6738e1d5b68723ef4b8f13c86cdf09e7,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,BD1-7 clade,uncultured bacterium
c15c674c4742488bab09793d5a863a36,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,uncultured organism
fb9c8ab324e79d6f812134027b7057e2,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,uncultured,
73b82d719f6682ea3f4c6abe08767b7d,Bacteria,Marinimicrobia (SAR406 clade),,,,,
57335be9c24365a84e4889664aabc68e,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Devosia,
5a730366568162acd1678d404b0576f2,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes vadinHA17,,
1cb4bbd8b901c9007d866bd34871e2f4,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,uncultured marine bacterium
14c6606dc92546b6b9725af814dd2831,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,uncultured bacterium
a79b14780dfe5769da9cd4098e197670,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,Ambiguous_taxa,Ambiguous_taxa
0fcaa914ee88d01ee7e56d477ede47d1,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pir4 lineage,
84442f0272158d96248f36aa1e237f84,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,
4c917f8274eb0193af87e3ab9ee9321e,Bacteria,Acidobacteria,Subgroup 21,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
bf55e90e3dbb8743618d76ebb5a00580,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,Ambiguous_taxa,Ambiguous_taxa
726f2174f0610b5956125b5063b242aa,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,,,
dd859071bf23bfb2c3f51618609f9a95,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,,,
d72b39acbab6f5df99dcfa775368d5ea,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116 clade,uncultured marine bacterium,uncultured marine bacterium
188d8f7467717af8b23dba0496780667,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),,,
a0fbb7924ee5be377131fe4062dbdf47,Bacteria,Marinimicrobia (SAR406 clade),,,,,
ec63f8bf764f9b37310294bb3af5ac67,Bacteria,Acidobacteria,Subgroup 11,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
5d4dc27bad814340954ba2525c155853,Bacteria,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4 marine group,uncultured bacterium,uncultured bacterium,uncultured bacterium
090d11450bdeb1860fd07b5fa5fd76bd,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Profundimonas,
1e9fa62b348bff7c539c1b340098f1b1,Bacteria,Marinimicrobia (SAR406 clade),Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
d0e832ed44efd00bdaf1e9ca9ce3c071,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,,,
fce68624e3d7968e565bcb2cc1c2fa77,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
a84427f42e00d50118e80bbe617a6144,Bacteria,Marinimicrobia (SAR406 clade),Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
aa46d8377e8c1fdc32ebf35483b1e062,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
dee131592f90f8908ce43ec9a9c39002,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75 clade,uncultured bacterium
2788e1d1489f88a8dd875b06e1e94ea9,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,uncultured bacterium
8720c6ebb205d436267779630d8c1d2c,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Marinobacteraceae,Marinobacter,
e4f309addac599cebe82d99208d7fb7a,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,,
98622d8b8e8cf17edeeb1692747079ac,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
a5ed3c075ba4679d85a7e69d4404d7f8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169 marine group,,
b7ab4cf446ea3d3650bf32985197b984,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade III,Ambiguous_taxa,Ambiguous_taxa
daa8eaaa4796c142dc87ba13b4ef5923,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,,
5519b03cdfb5fba67a61217eac76022b,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116 clade,Ambiguous_taxa,Ambiguous_taxa
10463bb27d511057ca837470e69a29da,Bacteria,Acidobacteria,Subgroup 21,,,,
c7d3758bd546d3b5b3c3674b8a216d44,Bacteria,Proteobacteria,Alphaproteobacteria,Sneathiellales,Sneathiellaceae,AT-s3-44,
830d3dde1eff9983b72cc3b5e742d1f0,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,,,
1acb8f5d086133da1d38eafdb0bd6adb,Bacteria,Marinimicrobia (SAR406 clade),,,,,
183e47017c748e59a35a30a0f2e4869f,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,
166790cc8611e9b20f6651439cd1207e,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
107a36dd936db2831ef890a7fc7adcdc,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
4d157eeaf60f89e7abd84771fa3ba639,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,
5252849938a54b38675bad435aca47c6,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84,,
beddab4236a2c3a7cd1abaac45603078,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75 clade,uncultured bacterium
6adb3e254a0fc5f98ba879f97ea05b5e,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
6dc6d24cfbe532c0e8c6755e72f00eca,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,,,
5a90f1d3d4922f5398b134ae77e0b902,Bacteria,PAUC34f,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
ee7023c517ae8d4c494574b9a51bdd6f,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,
419501f66ddc40df3f73a2c9ccfaff5d,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04 marine group,uncultured bacterium
84f3d8f6832565d91fd9b02146fdc26c,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,
76fd649c4a410d16521ee94e472e4ab9,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,
fba84e4b98525c365a0d2a0b014793a6,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,
d4868551a577661875b6eeb6f81672ba,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,,,
337655fd8f1bdfa258f63a286d5ab8f6,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,,,
3c6db20fab65034222dce8f96eba0d0e,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,,
dd4122f0bf0a6f1a5d187c4925d9e1d7,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II,uncultured bacterium,uncultured bacterium
41bccf71abb0f1b4282bb7555d96d4e0,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I,,
d3558bd131928907e2de56fd452bcd11,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,,,
87f4c16cc5ce1adde3d11a74224eb562,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,uncultured,Ambiguous_taxa
6909ea2807878f5fca6ee412f6639345,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula,uncultured Planctomycetaceae bacterium
ae27f56f3afee9f50f9351e7c95974db,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,uncultured bacterium,uncultured bacterium,uncultured bacterium
3a8ff9e2f7f3657a55e1b6f4c46725aa,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,Ambiguous_taxa,Ambiguous_taxa,Ambiguous_taxa
5cc0e2d74c7c0403870544518313d2f5,Bacteria,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4 marine group,uncultured bacterium,uncultured bacterium,uncultured bacterium
afe847dbc312d275934dc49b5e0763cc,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5 marine group,
1bcddcfadac93422661e60a8ae20b7e5,Bacteria,Marinimicrobia (SAR406 clade),,,,,
67ebc797b6530e9d580c93e3376c2a07,Bacteria,Marinimicrobia (SAR406 clade),,,,,
d40dfd134eb857407b801fcbd334b334,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,,
9135561e400ac242140706b84ba75524,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,
075892bbe4dd15611b74ecf6e8456f98,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996 marine group,
